"filename", "language", "C++", "Markdown", "YAML", "Docker", "Batch", "Shell Script", "Python", "HTML", "CMake", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\model\mainModel.cpp", "C++", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -14
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\model\mainModel.h", "C++", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -3, -23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\model\model.cpp", "C++", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -14
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\model\model.h", "C++", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -2, -23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\model\sinkingModel.cpp", "C++", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3, -17
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\model\sinkingModel.h", "C++", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -3, -23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\config\cnt_config.yaml", "YAML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\includes\Icnt_high_voltage.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\includes\cnt_controller.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 5
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\includes\cnt_linear_motion.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
