"filename", "language", "CMake", "Markdown", "Batch", "C++", "JSON", "YAML", "Python", "XML", "Ini", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\gtest_pred_impl.h", "C++", 0, 0, 0, 147, 0, 0, 0, 0, 0, 98, 35, 280
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\gtest_prod.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 50, 6, 61
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\custom\README.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 17, 45
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\custom\gtest-port.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 32, 3, 38
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\custom\gtest-printers.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 37, 3, 43
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\custom\gtest.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 32, 3, 38
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-death-test-internal.h", "C++", 0, 0, 0, 159, 0, 0, 0, 0, 0, 102, 46, 307
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-filepath.h", "C++", 0, 0, 0, 51, 0, 0, 0, 0, 0, 124, 36, 211
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-internal.h", "C++", 0, 0, 0, 910, 0, 0, 0, 0, 0, 432, 229, 1571
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-param-util.h", "C++", 0, 0, 0, 617, 0, 0, 0, 0, 0, 215, 125, 957
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-port-arch.h", "C++", 0, 0, 0, 77, 0, 0, 0, 0, 0, 35, 5, 117
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-port.h", "C++", 0, 0, 0, 1265, 0, 0, 0, 0, 0, 833, 316, 2414
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-string.h", "C++", 0, 0, 0, 38, 0, 0, 0, 0, 0, 111, 29, 178
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\gtest\internal\gtest-type-util.h", "C++", 0, 0, 0, 98, 0, 0, 0, 0, 0, 62, 27, 187
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgGetTab1.h", "C++", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgGetTab2.h", "C++", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgMeasureCtlTab.h", "C++", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgModeTab.h", "C++", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgOtherTab.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgSetTab1.h", "C++", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\DlgSetTab2.h", "C++", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\LKIF2.h", "C++", 0, 0, 0, 477, 0, 0, 0, 0, 0, 243, 60, 780
