Date : 2022-12-21 22:16:09
Directory : c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp
Total : 2266 files,  634389 codes, 220321 comments, 103650 blanks, all 958360 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest-internal-inl.h                                                      | C++              |        558 |        415 |        211 |      1,184 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest-port.cc                                                             | C++              |        841 |        255 |        164 |      1,260 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest-printers.cc                                                         | C++              |        217 |        120 |         37 |        374 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest-test-part.cc                                                        | C++              |         51 |         43 |         17 |        111 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest-typed-test.cc                                                       | C++              |         67 |         35 |         17 |        119 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest.cc                                                                  | C++              |      3,138 |      1,597 |        654 |      5,389 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\src\gtest_main.cc                                                             | C++              |          7 |         28 |          4 |         39 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-death-test_ex_test.cc                                              | C++              |         42 |         39 |         13 |         94 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-death-test_test.cc                                                 | C++              |        958 |        235 |        235 |      1,428 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-filepath_test.cc                                                   | C++              |        470 |         91 |        102 |        663 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-linked_ptr_test.cc                                                 | C++              |        104 |         34 |         17 |        155 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-listener_test.cc                                                   | C++              |        226 |         43 |         43 |        312 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-message_test.cc                                                    | C++              |         83 |         53 |         24 |        160 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-options_test.cc                                                    | C++              |        142 |         49 |         25 |        216 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-param-test2_test.cc                                                | C++              |         13 |         44 |          9 |         66 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-param-test_test.cc                                                 | C++              |        701 |        187 |        168 |      1,056 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-param-test_test.h                                                  | C++              |         11 |         39 |          8 |         58 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-port_test.cc                                                       | C++              |        970 |        105 |        230 |      1,305 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-printers_test.cc                                                   | C++              |      1,114 |        249 |        273 |      1,636 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-test-part_test.cc                                                  | C++              |        125 |         50 |         34 |        209 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-tuple_test.cc                                                      | C++              |        200 |         65 |         56 |        321 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-typed-test2_test.cc                                                | C++              |          7 |         33 |          6 |         46 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-typed-test_test.cc                                                 | C++              |        191 |        105 |         85 |        381 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-typed-test_test.h                                                  | C++              |         20 |         34 |         13 |         67 |
